Title,Acronym,DblpSeries,has CORE2010 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3
1st International Conference on Building Energy and Environment,COBEE,N/A,,"Building†, , ",Building†,,
1st International Conference on Engineering Management,ICEM,N/A,,"Engineering†, , ",Engineering†,,
2008 International Conference on Biomedical Robotics and Biomechatronics,BIO ROB,N/A,B,"Biomedical Engineering †, , ",Biomedical Engineering †,,
3-D Digital Imaging and Modelling,3DIM,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
A Satellite workshop on Formal Approaches to Testing of Software,FATES,N/A,C,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
AAEE - Annual Conference of Australasian Association for Engineering Education,,N/A,B,"Engineering†, , ",Engineering†,,
Accelerating excellence in the built environment World Conference,WCAEBE,N/A,C,"Building†, , ",Building†,,
Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,N/A,C,"Information Systems†, , ",Information Systems†,,
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,sera,C,"Computer Software†, , ",Computer Software†,,
ACM Annual Computer Science Conference,CSC,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,sigcomm,A,"Computer Software†, , ",Computer Software†,,
ACM Conference on Computer and Communications Security,CCS,ccs,A,"Computer Software†, , ",Computer Software†,,
ACM Conference on Computer Supported Cooperative Work,CSCW,cscw,A,"Information Systems†, , ",Information Systems†,,
ACM Conference on Economics and Computation,EC,sigecom,B,"Information Systems†, , ",Information Systems†,,
ACM Conference on Embedded Networked Sensor Systems,SENSYS,sensys,A,"Computer Hardware†, , ",Computer Hardware†,,
International Conference on Embedded Software,EMSOFT,emsoft,A,"Communications Technologies†, , ",Communications Technologies†,,
ACM Conference on Hypertext and Social Media,Hypertext,ht,A,"Distributed Computing†, , ",Distributed Computing†,,
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,oopsla,A,"Computer Software†, , ",Computer Software†,,
ACM Creativity and Cognition,CC,N/A,A,"Design Practice and Management†, , ",Design Practice and Management†,,
ACM Digital Rights Management Workshop,DRM,N/A,C,"Computer Software†, , ",Computer Software†,,
ACM Information Technology Education,SIGITE,sigite,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,gis,B,"Information Systems†, , ",Information Systems†,,
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,N/A,B,"Information Systems†, Design Practice and Management†, ",Information Systems†,Design Practice and Management†,
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,conext,A,"Distributed Computing†, , ",Distributed Computing†,,
ACM International Conference on Information and Knowledge Management,CIKM,cikm,A,"Information Systems†, , ",Information Systems†,,
ACM International Conference on Knowledge Discovery and Data Mining,KDD,kdd,A,"Data Format†, , ",Data Format†,,
