Title,Acronym,DblpSeries,has CORE2010 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3
ACM International Conference on Mobile Computing and Networking,MOBICOM,mobicom,A,"Computer Hardware†, , ",Computer Hardware†,,
ACM International Conference on Recommender Systems,RecSys,recsys,B,"Information Systems†, , ",Information Systems†,,
ACM International Conference on Research and Development in Information Retrieval,SIGIR,sigir,A,"Information Systems†, , ",Information Systems†,,
ACM International Conference on Supercomputing,ICS,ics,A,"Distributed Computing†, , ",Distributed Computing†,,
ACM International Conference on Web Search and Data Mining,WSDM,wsdm,B,"Data Format†, Distributed Computing†, ",Data Format†,Distributed Computing†,
ACM International Symposium on Computer Architecture,ISCA,isca,A,"Computer Software†, , ",Computer Software†,,
ACM International Symposium on High Performance Distributed Computing,HPDC,hpdc,A,"Distributed Computing†, , ",Distributed Computing†,,
ACM International Wireless Communications and Mobile Computing Conference,IWCMC,iwcmc,B,"Computer Hardware†, , ",Computer Hardware†,,
ACM International Workshop On Multimedia Databases,MMDB,N/A,C,"Data Format†, , ",Data Format†,,
ACM International Workshop on. Mobility Management and Wireless Access,MobiWac,N/A,B,"Communications Technologies†, , ",Communications Technologies†,,
ACM Multimedia,ACMMM,mm,A,"Computer Software†, Design Practice and Management†, ",Computer Software†,Design Practice and Management†,
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,siggraph,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Measurement and Modeling of Computer Systems,SIGMETRICS,sigmetrics,A,"Computer Hardware†, , ",Computer Hardware†,,
ACM SIGCHI_NZ Conference on Human-Computer Interaction,SIGCHI-NZ,N/A,C,"Information Systems†, , ",Information Systems†,,
ACM SIGCOMM Internet Measurement Conference,ACM IMC,N/A,A,"Communications Technologies†, , ",Communications Technologies†,,
ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,sca,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
ACM SIGIR Workshop on XML and Information Retrieval,SIGIR/XML,N/A,C,"Data Format†, , ",Data Format†,,
International Conference on Multimedia Retrieval (previously MIR),ICMR,mir,B,"Data Format†, , ",Data Format†,,
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,mobisys,B,"Distributed Computing†, , ",Distributed Computing†,,
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,pods,A,"Data Format†, , ",Data Format†,,
ACM SIGOPS European Workshops,SIGOPS-EW,N/A,C,"Computer Software†, , ",Computer Software†,,
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,sosp,A,"Computer Software†, , ",Computer Software†,,
"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",LCTES,lctrts,A,"Communications Technologies†, , ",Communications Technologies†,,
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,pepm,B,"Computer Software†, , ",Computer Software†,,
ACM SIGPLAN Workshop on Types in Language Design and Implementation (was TIC),TLDI,N/A,C,"Computer Software†, , ",Computer Software†,,
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,sigsoft,A,"Computer Software†, , ",Computer Software†,,
ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,PASTE,N/A,B,"Computer Software†, , ",Computer Software†,,
ACM SIGUCCS Conference on User Services,SIGUCCS,siguccs,C,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,
ACM Special Interest Group on Computer Science Education Conference,SIGCSE,sigcse,A,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,
ACM Special Interest Group on Management of Data Conference,SIGMOD,sigmod,A,"Data Format†, , ",Data Format†,,
ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,group,B,"Information Systems†, , ",Information Systems†,,
ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,mobihoc,A,"Data Format†, , ",Data Format†,,
ACM Symposium on Applied Computing,SAC,sac,B,"Data Format†, , ",Data Format†,,
International Symposium on Computational Geometry,SoCG,compgeom,A,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
"Asia Conference on Information, Computer and Communications Security",AsiaCCS,asiaccs,B,"Computer Software†, , ",Computer Software†,,
ACM Symposium on Principles of Database Systems,SPDS,N/A,C,"Data Format†, , ",Data Format†,,
ACM Symposium on Principles of Distributed Computing,PODC,podc,A,"Distributed Computing†, , ",Distributed Computing†,,
ACM Symposium on Solid and Physical Modelling,SPM,N/A,B,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
ACM Symposium on Theory of Computing,STOC,stoc,A,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
ACM Symposium on User Interface Software and Technology,UIST,uist,A,"Information Systems†, , ",Information Systems†,,
ACM Virtual Reality Software and Technology,VRST,vrst,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code,FMSE,N/A,C,"Computer Software†, , ",Computer Software†,,
ACM Workshop on Hot Topics in Networks,HOTNETS,hotnets,A,"Communications Technologies†, , ",Communications Technologies†,,
ACM Workshop on Hot Topics in Software Upgrades,HotSWUp,N/A,C,"Computer Software†, , ",Computer Software†,,
ACM Workshop on Role Based Access Control (now SACMAT),RBAC,N/A,C,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
ACM Workshop on Scalable Trusted Computing,STC,N/A,B,"Computer Software†, , ",Computer Software†,,
ACM Workshop on Secure Web Services,SWS,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
ACM Workshop on Web Information and Data Management,WIDM,N/A,B,"Information Systems†, , ",Information Systems†,,
ACM/IEEE International Conference on Distributed Smart Cameras,ICDSC,icdsc,B,"Computer Software†, , ",Computer Software†,,
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,mswim,A,"Computer Hardware†, , ",Computer Hardware†,,
"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,sc,A,"Distributed Computing†, , ",Distributed Computing†,,
ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,pads,B,"Distributed Computing†, , ",Distributed Computing†,,
ACM/IFIP/USENIX International Middleware Conference,Middleware,middleware,A,"Computer Software†, , ",Computer Software†,,
ACM/SIAM Symposium on Discrete Algorithms,SODA,soda,A,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
ACM/SPIE Multimedia Computing and Networking,MMCN,N/A,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,popl,A,"Computer Software†, , ",Computer Software†,,
ACM SIGMIS Computers and People Research,ACM-SIGMIS CPR,sigcpr,B,"Information Systems†, , ",Information Systems†,,
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,pldi,A,"Computer Software†, , ",Computer Software†,,
ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,si3d,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,aiccsa,C,"Information and Computing Sciences†, Built Environment and Design†, ",Information and Computing Sciences†,Built Environment and Design†,
Active and Real-Time Database Systems,ARTDB,N/A,C,"Data Format†, , ",Data Format†,,
Advanced Concepts for Intelligent Vision Systems,ACIVS,acivs,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Advanced Course on Artificial Intelligence,ACAI,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Advanced Research in VLSI,ARVLSI,N/A,C,"Distributed Computing†, , ",Distributed Computing†,,
IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,avss,B,"Communications Technologies†, , ",Communications Technologies†,,
Advanced Visual Interfaces,AVI,avi,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Advances in Cryptology,CRYPTO,crypto,A,"Data Format†, , ",Data Format†,,
Advances in Information Systems,ADVIS,N/A,C,"Information Systems†, , ",Information Systems†,,
Advances in Intelligent Systems,AIS,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Advances in Modal Logic,AiML,aiml,A,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
Advances in Neural Information Processing Systems (was NIPS),NeurIPS,nips,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Advances in the Theory of Computing,AITC,N/A,C,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
Agent-Oriented Information Systems Workshop,AOIS,N/A,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Agent-Oriented Software Engineering Workshop (merged into EMAS in 2013),AOSE,N/A,C,"Artificial Intelligence and Image Processing†, Computer Software†, ",Artificial Intelligence and Image Processing†,Computer Software†,
AISB Convention (Society for the Study of Artificial Intelligence and Simulation of Behaviour),AISB,N/A,B,"Design Practice and Management†, , ",Design Practice and Management†,,
Algebraic Methodology and Software Technology,AMAST,N/A,C,"Computation Theory and Mathematics†, Computer Software†, ",Computation Theory and Mathematics†,Computer Software†,
Algorithmic Learning Theory,ALT,alt,A,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
Algorithms and Complexity in Durham,ACID,N/A,C,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,wads,A,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
Ambient Intelligence Developments,Aml.d,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
American Association of Cost Engineers Annual Meeting,AACE,N/A,A,"Building†, , ",Building†,,
American Federation of Information Processing Societies,AFIPS,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
"American Society for Heating, Refrigeration and Air Conditioning",ASHRAE,N/A,A,"Building†, , ",Building†,,
Americas Conference on Information Systems,AMCIS,amcis,A,"Information Systems†, , ",Information Systems†,,
Annual Computer Security Applications Conference,ACSAC,acsac,A,"Computer Software†, , ",Computer Software†,,
Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,N/A,C,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,
Annual Meeting of the Cognitive Science Society,CogSci,cogsci,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Annual Conference of the International Academy for Information Management,IAIM,N/A,C,"Information Systems†, , ",Information Systems†,,
Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,N/A,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Conference on Learning Theory,COLT,colt,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Annual Conference on Evolutionary Programming,EP,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,iticse,A,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,
"Annual Conference on Privacy, Security and Trust",PST,pst,C,"Data Format†, , ",Data Format†,,
"Annual Convention for Survey, Mapping and Remote Sensing",RS,N/A,C,"Geomatic Engineering †, , ",Geomatic Engineering †,,
Annual Fall Workshop on Computational Geometry,CGW,N/A,C,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
Annual International Conference on Ada,TRI-Ada,N/A,C,"Computer Software†, , ",Computer Software†,,
Annual International Workshop on Presence,ISPR,N/A,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Annual Meeting of the Decision Sciences Institute,DSI,N/A,C,"Information Systems†, , ",Information Systems†,,
Annual PKI R&D Workshop,PKI,N/A,C,"Computer Software†, , ",Computer Software†,,
Annual PPIG Workshop,PPIG,ppig,B,"Information Systems†, , ",Information Systems†,,
Annual Simulation Symposium,ANSS,N/A,C,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
AoM Organizational Communication and Information Systems,OCIS,N/A,A,"Information Systems†, , ",Information Systems†,,
Apple University Consortium Academic and Developers Conference,AUCADC,N/A,C,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,
Application of Computers and Operations Research in the Minerals Industries,APCOMin,N/A,A,"Geomatic Engineering †, Resources Engineering and Extractive Metallurgy†, ",Geomatic Engineering †,Resources Engineering and Extractive Metallurgy†,
Application of Concurrency to System Design,ACSD,acsd,B,"Distributed Computing†, , ",Distributed Computing†,,
Applications of Information Visualization,IV-App,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Applications of Natural Language to Data Bases,NLDB,nldb,C,"Information Systems†, , ",Information Systems†,,
Applied Computing Conference,ACC,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
Applied Perception in Graphics and Visualization,APGV,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Architectural Support for Programming Languages and Operating Systems,ASPLOS,asplos,A,"Computer Software†, , ",Computer Software†,,
Argentine Symposium on Artificial Intelligence,ASAI,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Artificial Intelligence in Knowledge Management,AIKM,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Artificial Intelligence in Medicine,AIIM,N/A,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Artificial Intelligence in Medicine,AIME,aime,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Artificial Neural Networks in Engineering Conference,ANNIE,N/A,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Asia Information Retrieval Symposium,AIRS,airs,C,"Information Systems†, , ",Information Systems†,,
Asia International Conference on Modelling and Simulation,AMS,N/A,C,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
Asia Pacific Conference on Communications,APCC,apcc,B,"Communications Technologies†, , ",Communications Technologies†,,
Asia Pacific Conference on Hardware Description Languages (was Asia Pacific CHipDesign Languages),APCHDL,N/A,C,"Computer Hardware†, , ",Computer Hardware†,,
Asia Pacific Decision Science Institute Conference,APDSI,N/A,C,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
Asia and South Pacific Design Automation Conference,ASPDAC,aspdac,C,"Computer Hardware†, , ",Computer Hardware†,,
Asia Pacific Industrial Engineering and Management Systems and Chinese Institute of Industrial Engineers Conference,APIEMS CIIEC,N/A,C,"Design Practice and Management†, , ",Design Practice and Management†,,
Asia Pacific Research Symposium on Accounting Information Systems,APRSAIS,N/A,C,"Information Systems†, , ",Information Systems†,,
Web and Big Data,APWEB,apweb,C,"Distributed Computing†, , ",Distributed Computing†,,
Asian Computing Science Conference,ASIAN,N/A,B,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
Asian Conference on Computer Vision,ACCV,accv,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Asian International Mobile Computing Conference,AMOC,N/A,C,"Distributed Computing†, , ",Distributed Computing†,,
Asian Symposium on Computer Mathematics,ASCM,N/A,C,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
ASIAN Symposium on Programming Languages and Systems,APLAS,aplas,B,"Computer Software†, , ",Computer Software†,,
Asian-Pacific Conference on Computational Mechanics,APCOM,N/A,A,"Civil Engineering†, , ",Civil Engineering†,,
Asian-Pacific conferences on unsaturated soils,Unsat-Asian,N/A,A,"Civil Engineering†, , ",Civil Engineering†,,
Asia-Pacific Bioinformatics Conference,APBC,apbc,B,"Computer Software†, , ",Computer Software†,,
Asia-Pacific Computer Human Interaction Conference,APCHI,N/A,C,"Design Practice and Management†, , ",Design Practice and Management†,,
Asia-Pacific Conference on Complex Systems,Complex,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Asia-Pacific Conference on Conceptual Modelling,APCCM,N/A,B,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
Asia-Pacific Conference on Simulated Evolution and Learning,SEAL,seal,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Asia-Pacific Forum on Engineering and Technology Education,AFETE,N/A,C,"Other Engineering†, , ",Other Engineering†,,
Asia-Pacific Network Operations and Management Symposium,APNOMS,apnoms,C,"Distributed Computing†, , ",Distributed Computing†,,
Asia-Pacific Services Computing Conference,APSCC,N/A,C,"Distributed Computing†, , ",Distributed Computing†,,
Asia-Pacific Software Engineering Conference,APSEC,apsec,C,"Computer Software†, , ",Computer Software†,,
"Asilomar Conference on Signals, Systems and Computing",ACSSC,acssc,C,"Communications Technologies†, , ",Communications Technologies†,,
Aspect-Orientation Asia,AO-Asia,N/A,C,"Computer Software†, , ",Computer Software†,,
Aspect-Oriented Software Development,AOSD,N/A,A,"Computer Software†, , ",Computer Software†,,
Association for Computer Aided Design in Architecture (ACADIA) Conference,ACADIA,N/A,A,"Architecture†, , ",Architecture†,,
Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,N/A,B,"Computer Software†, Design Practice and Management†, Architecture†",Computer Software†,Design Practice and Management†,Architecture†
Association of Architecture Schools of Australasia Annual Conference (AASA),AASA,N/A,C,"Architecture†, , ",Architecture†,,
Association of Collegiate Schools of Architecture (ACSA) Annual Meeting,ACSA,N/A,B,"Architecture†, , ",Architecture†,,
Association for Computational Linguistics,ACL,acl,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Association of Researchers in Construction Management Annual Conference,ARCOM,N/A,A,"Building†, , ",Building†,,
Athens Colloquium on Algorithms and Complexity,ACAC,N/A,C,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
Australasia Conference on Information Security and Privacy,AISP,N/A,C,"Information Systems†, , ",Information Systems†,,
Australasian Cognitive Science Society Conference,AuCSS,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australasian Compumod Users' Conference,COMPUMOD,N/A,C,"Computer Software†, , ",Computer Software†,,
Australasian Computer Music Conference,ACMA,N/A,C,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,
Australasian Computer Science Conference,ACSC,N/A,B,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
Australasian Computers in Education Conference,ACEC,N/A,C,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,N/A,C,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
Australasian Conference on Information Security and Privacy,ACISP,acisp,B,"Data Format†, , ",Data Format†,,
Australasian Conference on Information Systems,ACIS,N/A,A,"Information Systems†, , ",Information Systems†,,
Australasian Conference on Parallel and Real-Time Systems,APRTS,N/A,C,"Distributed Computing†, , ",Distributed Computing†,,
Australasian Conference on Pattern Languages of Programs,KoalaPLoP,N/A,C,"Computer Software†, , ",Computer Software†,,
Australasian Conference on Robotics and Automation,ACRA,N/A,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australasian Database Conference,ADC,adc,B,"Data Format†, , ",Data Format†,,
Australasian Housing Researchers Conference,AHRC,N/A,A,"Urban and Regional Planning†, , ",Urban and Regional Planning†,,
Australasian Information Security Conference,AISC,auisc,B,"Data Format†, , ",Data Format†,,
Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies),AISW-PET,N/A,C,"Computer Software†, , ",Computer Software†,,
Australasian Joint Conference on Artificial Intelligence,AI,ausai,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australasian Refinement Workshop,AuRW,N/A,C,"Computer Software†, , ",Computer Software†,,
Australasian Remote Sensing Conference and Photogrammetry Conference,ARSPC,N/A,C,"Communications Technologies†, , ",Communications Technologies†,,
Australasian Speech Science and Technology,SST,N/A,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australasian Symposium on Grid Computing and e-Research (now AusPDC),AusGrid,N/A,C,"Distributed Computing†, , ",Distributed Computing†,,
Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,N/A,C,"Distributed Computing†, , ",Distributed Computing†,,
Australasian Transport Research Forum,ATRF,N/A,A,"Urban and Regional Planning†, Civil Engineering†, ",Urban and Regional Planning†,Civil Engineering†,
Australasian Urban and Regional Information Systems Association Conference,AURISA,N/A,C,"Information Systems†, , ",Information Systems†,,
Australasian User Interface Conference,AUIC,N/A,B,"Information Systems†, , ",Information Systems†,,
Australasian Women in Computing Workshop,WIC,N/A,C,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,
Australasian Workshop on Combinatorial Algorithms,AWOCA,N/A,B,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
Australasian Workshop on Health Data and Knowledge Management,HDKM,N/A,B,"Data Format†, , ",Data Format†,,
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on Intelligent and Evolutionary Systems),IES,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australian and New Zealand Academy of Management Conference,ANZAM,N/A,C,"Information Systems†, , ",Information Systems†,,
Australian and New Zealand Architectural Science Association (ANZAScA) Annual Conference,ANZAScA,N/A,B,"Architecture†, Building†, ",Architecture†,Building†,
Australian and New Zealand Association of Planning schools,ANZAPS,N/A,B,"Building†, Urban and Regional Planning†, ",Building†,Urban and Regional Planning†,
Australian and New Zealand Intelligent Information Systems Conference,ANZIIS,N/A,C,"Information Systems†, , ",Information Systems†,,
Australian and New Zealand Marketing Academy Conference,ANZMAC,N/A,C,"Information Systems†, , ",Information Systems†,,
Australian Computer Human Interaction Conference,OZCHI,ozchi,B,"Information Systems†, Design Practice and Management†, ",Information Systems†,Design Practice and Management†,
Australian Conference for Knowledge Management and Intelligent Decision Support,ACKMIDS,N/A,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australian Conference on Artificial Life and Computational Intelligence,ACALCI,acalci,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australian Conference on Neural Networks,ACNN,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australian Conference on Software Metrics,ACOSM,N/A,C,"Computer Software†, , ",Computer Software†,,
Australian Data Mining Conference,AusDM,ausdm,B,"Data Format†, , ",Data Format†,,
Australian Game Developers Conference,AGDC,N/A,C,"Information Systems†, , ",Information Systems†,,
Australian Information Security Management Conference,ISM,N/A,B,"Data Format†, , ",Data Format†,,
Australian Information Warfare and Security Conference,WarSec,N/A,C,"Information Systems†, , ",Information Systems†,,
Australian Institute of Building Surveyors International Refereed Conference,AIBS,N/A,B,"Building†, , ",Building†,,
Australian Institute of Computer Ethics Conference,AICE,N/A,C,"Information Systems†, , ",Information Systems†,,
Australian Knowledge Acquisition Workshop,AKAW,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australian MADYMO Users Meeting,MADYMO,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australian MATLAB Conference,MATLAB,N/A,C,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,
Australian Software Engineering Conference,ASWEC,aswec,B,"Computer Software†, , ",Computer Software†,,
Australian Supercomputing Conference,ACS,N/A,C,"Distributed Computing†, , ",Distributed Computing†,,
Australian Symposium on Information Visualisation,ASIV,N/A,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference),ITNAC,itnac,C,"Communications Technologies†, , ",Communications Technologies†,,
Australian Universities Building Education Association Annual Conference,AUBEA,N/A,B,"Building†, , ",Building†,,
Australian UNIX Users Group National Conference,AUUG,N/A,C,"Computer Software†, , ",Computer Software†,,
Australian Women in IT Conference,OzWIT,N/A,B,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,
"Australian Workshop on Mobile Computing, Databases and Applications",MCDA,N/A,C,"Information Systems†, , ",Information Systems†,,
Australian Workshop on Requirements Engineering,AWRE,N/A,B,"Computer Software†, Information Systems†, ",Computer Software†,Information Systems†,
Australian Workshop on Safety Critical Systems and Software,SCSS,N/A,C,"Communications Technologies†, , ",Communications Technologies†,,
