2052,International Computer Symposium Conference,ICSC2,CORE2018,A,No,,,
2056,"IEEE Conference on Information, Decision and Control",IDC,CORE2018,C,No,,,
2058,IDF Congress,IDFC,CORE2018,C,No,,,
2066,International Federation of Automatic Control World Congress,IFAC,CORE2018,C,No,,,
2068,International Joint Conference on Computational Linguistics,IJCNLP2,CORE2018,B,No,,,
2071,IEEE Intell Network Workshop,IN,CORE2018,B,No,,,
2073,IEEE International Symposium on Intelligence in Neural & Biological Systems,INBS,CORE2018,B,No,,,
2076,IEEE International Conference on Intelligent Processing Systems,IPS,CORE2018,C,No,,,
2078,Information Resources Management Association International Conference,IRMA,CORE2018,B,No,,,
2081,IEEE International Solid-State Circuits Conference,ISSCC,CORE2018,A,No,,,
2083,International Conference on IT Based Higher Education and Training,ITHET,CORE2018,C,No,,,
2084,IEEE International Workshop on Cluster Computing and the Grid ,IWCC,CORE2018,C,No,,,
2091,International Workshop on Logic Programming and Multi-Agents,LPMA,CORE2018,B,No,,,
2104,"Net Object Days (Includings MATES, ENASE etc.)",MATES ENASE,CORE2018,A,No,,,
2094,Australian Conference on Mathematics and Computers in Sport,MCSpo,CORE2018,Australasian,Yes,,,
2099,IEEE International Conference on Multimedia in Education,MME,CORE2018,C,No,,,
2100,Multiple Objective Decision Support System Conference,MODSS,CORE2018,C,No,,,
2107,Open and Distance Learning Association of Australia Bienniel Forum,ODLA,CORE2018,Australasian,Yes,,,
2108,"Joint OECC, IOCC & ACOFT",OESS/IOCC/ACOFT,CORE2018,C,No,,,
2109,International Conference on Object Oriented Information Systems,OOIS,CORE2018,C,No,,,
2111,PACES & ICIL,P&I,CORE2018,C,No,,,
2115,Joint AUPEC & EECON ,PEC&CON,CORE2018,C,No,,,
2117,International Symposium on Physical Design,PHYSDES,CORE2018,C,No,,,
2118,Symposium on Programming Language Implementation and Logic Programming,PLILP,CORE2018,B,No,,,
2130,International Conference on Software Engineering: Education and Practice ,SEEP,CORE2018,B,No,,,
2134,Society for Information Technology and Teacher Education Conference ,SITE,CORE2018,C,No,,,
2140,Theory and Applications of Knowledge MAnagement,TAKMA,CORE2018,C,No,,,
2141,International Conference on Technology Education,TE,CORE2018,C,No,,,
2145,University of Western Australia Computer Science Research Conference,UWACS,CORE2018,Australasian,Yes,,,
2149,International Workshop on Artificial Intelligence and Statistics,WAIS,CORE2018,B,No,,,
2150,World Conference on Computers in Education,WCCE,CORE2018,C,No,,,
2151,World Congress on Systems Simulation,WCSS,CORE2018,B,No,,,
