Title,Acronym,DblpSeries,has CORE2026 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3,has CORE2023 Rank,has CORE2021 Rank,has CORE2020 Rank,has CORE2018 Rank,has CORE2017 Rank,has CORE2014 Rank,has CORE2013 Rank,has CORE2010 Rank,has CORE2008 Rank
International Workshop on Software Product Management,IWSPM,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
International Workshop on Software Quality,WoSQ,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,
International Workshop on Software Technology for Augmented Reality Systems,IWSTAR,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
International Workshop on Software and Compilers for Embedded Systems,SCOPES,scopes,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,C,A,A,A,A,A,A,A
International Workshop on Temporal Databases,TDB,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,
International Workshop on Visualization for Cyber Security,VizSec,vizsec,C,"Human-centred computing, Cybersecurity and privacy, ",Human-centred computing,Cybersecurity and privacy,,C,C,C,C,C,C,C,C,
International Workshop on Web Content Caching and Distribution,WCW,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,B
International Workshop on Web Information Systems Modelling,WISM,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
International Workshop on Web and Wireless Geographical Information Systems,W2GIS,w2gis,C,"Applied computing, , ",Applied computing,,,C,C,C,C,C,C,C,C,C
International Workshop on Wireless and Mobile Networks,WiMoNe,,,"Communications Technologies†, , ",Communications Technologies†,,,,,,,,,,C,
International Workshop on the Algorithmic Foundations of Robotics,WAFR,wafr,C,"Artificial intelligence, , ",Artificial intelligence,,,C,C,C,C,C,C,C,C,
International Workshop on the Sate of the Art in Cryptology and New Challenges Ahead,Quo Vadis Cryptology,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,
International Workshop on the Web and Databases,WebDB,webdb,,"Data management and data science, , ",Data management and data science,,,,,National: USA,C,C,C,C,C,C
International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises,WETICE,wetice,C,"Distributed computing and systems software, Human-centred computing, ",Distributed computing and systems software,Human-centred computing,,C,C,B,B,B,B,B,B,
International Workshops on First-Order Theorem Proving,FTP,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,B,B,B,B,B,B
International World Wide Web Conference,WWW,www,A*,"Distributed computing and systems software, Data management and data science, ",Distributed computing and systems software,Data management and data science,Library and Information Studies†,A*,A*,A*,A*,A*,A*,A*,A,A*
International XML Database Symposium,Xsym,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,
International and Interdisciplinary Conference on Modelling and Using Context,CONTEXT,context,,"Artificial intelligence, , ",Artificial intelligence,,,,C,C,C,C,C,C,C,
International conference on unsaturated soils,Unsat,,,"Civil Engineering†, , ",Civil Engineering†,,,,,,,,,,A,
International workshop on High-Level Parallel Programming and Applications,HLPP,,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,C,C,C,C,C,C,C,C
Internationale Tagung Wirtschaftsinformatik,DITW,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,B
Internet Measurement Conference,IMC,imc,A,"Distributed computing and systems software, , ",Distributed computing and systems software,,,A,A,A,A,A,A,A,A,A
Internet Research,AOIR,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,B
Internet Society Conference,INET,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,B
Interoperating Geographic Information Systems,INTEROP,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,interspeech,A,"Artificial intelligence, , ",Artificial intelligence,,,A,A,A,A,A,,,,A
Israel Symposium on Theory of Computing and Systems,ISTCS,,,", , ",,,,,,,,,,,,A
Italian Conference on Theoretical Computer Science,ICTCS,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,,,,,C,L
Italian Symposium on Advanced Database Systems,SEBD,,,"Data Format†, , ",Data Format†,,,,,,,,,,C,
Japan Conference on Computational Geometry and Graphs,JCCGG,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,,,,,C,
Japan Conference on Discrete and Computational Geometry,JCDCG,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,,,,,C,
Japan-China Joint Workshop on Frontier of Computer Science and Technology,FCST,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,,,,,C,
Japan-Korea Joint Workshop on Algorithms and Computations,WAAC,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,,,,,C,
Japanese-Hungarian Symposium on Discrete Mathematics and Its Applications,JH,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,,,,,C,
Joint AUPEC & EECON,PEC&CON,,,", , ",,,,,,,C,C,C,C,,C
Joint Australia and New Zealand Biennial Conference on Digital Image and Vision Computing,DIVC,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM and Mensura combined from 2007),IWSM Mensura,iwsm,C,"Software engineering, , ",Software engineering,,,C,C,C,C,C,C,C,C,
"Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (GRAPP and VISAPP combined from 2008)",VISIGRAPP,visigrapp,Multiconference,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,Multiconference,B,B,B,B,B,A,A,
Joint Conference on Declarative Programming APPIA-GULP-PRODE,APPIA/GULP/PRODE,,,", , ",,,,,,,C,C,C,C,,C
Joint Conference on Information Sciences,JCIS,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,C
Joint Conference on New Methods in Language Processing and Computational Natural Language Learning,NeMLaP,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,C
Joint DICTA & IVCNZ,DICTA/IVCNZ,,,", , ",,,,,,,Australasian,Australasian,Australasian,"Australasin (missed 2013, changed 2019)",,C
Joint European Conference and Exhibition on Geographical Information Systems,JECGI,,,"Geomatic Engineering †, , ",Geomatic Engineering †,,,,,,C,C,C,C,C,C
Joint European Networking Conference,JENC,,,"Communications Technologies†, , ",Communications Technologies†,,,,,,,,,,C,
Joint International Conference on CyberGames and Interactive Entertainment,CGIE,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
Joint Meeting of the European Frequency and Time Forum and the Institute of Electrical and Electronics Engineers In,EFTF/IFCS,,,", , ",,,,,,,C,C,C,C,,C
Joint Modular Languages Conference,JMLC,,,"Computer Software†, , ",Computer Software†,,,,,,B,B,B,B,B,B
"Joint OECC, IOCC & ACOFT",OESS/IOCC/ACOFT,,,", , ",,,,,,,C,C,C,C,,C
Joint Working Conference on Secure Information Networks: Communications and Multimedia Security,CMS,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
"Joint iTrust and PST Conferences on Privacy, Trust Management and Security",IFIP TM,,,"Computer Software†, , ",Computer Software†,,,,,,,,,,C,
Joint workshop on Multimodal Interaction and Related Machine Learning Algorithms (now ICMI-MLMI),MLMI,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,B,B,B,B,B,B
Journal of Computing Science in Colleges (Conference proceedings),CCSC,,,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,,,,,B,B,C,C,C,
KES International Symposium on Intelligent Decision Technologies,KES IDT,,C,"Artificial intelligence, , ",Artificial intelligence,,,C,C,C,C,C,C,C,C,
"Knowledge Acquisition, Modelling and Management Workshop (No longer Exists)",KAW,,,"Information Systems†, , ",Information Systems†,,,,,,,,C,C,C,C
Knowledge Discovery and Data Mining in Biological Databases Meeting,KDDMBD,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,C
Knowledge Domain Visualisation,KDViz,,National: UK,"Human-centred computing, , ",Human-centred computing,,,National: UK,National: UK,National: UK,C,C,C,C,C,
Knowledge Representation Meets Databases,KRDB,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,C
Knowledge Visualization and Visual Thinking,KV,,C,"Human-centred computing, , ",Human-centred computing,,,C,C,C,C,C,C,C,C,
Knowledge and Data Engineering Exchange Workshop,KDEX,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,C
Knowledge capture,K-CAP,kcap,B,"Data management and data science, Artificial intelligence, ",Data management and data science,Artificial intelligence,,B,B,A,A,A,A,A,A,A
Kyoto International Conference on Computational Geometry and Graph Theory,KyotoCGGT,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
