2172, International Conference on Advanced Communications and Computation,INFOCOMP,ICORE2026,Unranked,Yes,46,,
2189," International Conference on Ambient Systems, Networks and Technologies",ANT,ICORE2026,Unranked,Yes,4606,,
2264,AAAI Conference on Human Computation and Crowdsourcing,HCOMP,ICORE2026,B,Yes,4608,4605,
2354,"AAAI/ACM Conference on AI, Ethics, and Society",AIES,ICORE2026,C,Yes,4608,4602,4611
9,"ACIS Conference on Software Engineering Research, Management and Applications",SERA,ICORE2026,C,No,4612,,
11,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,ICORE2026,A*,Yes,4606,,
12,ACM Conference on Computer and Communications Security,CCS,ICORE2026,A*,Yes,4604,,
13,ACM Conference on Computer Supported Cooperative Work,CSCW,ICORE2026,A,No,4608,,
14,ACM Conference on Economics and Computation,EC,ICORE2026,A*,Yes,4602,4613,
15,ACM Conference on Embedded Networked Sensor Systems,SENSYS,ICORE2026,unranked: merged,Yes,4606,,
2355,ACM Conference on Learning @ Scale,L@S,ICORE2026,B,Yes,4601,4611,CSE
18,ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,ICORE2026,A,Yes,4612,,
2313,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,ICORE2026,B,Yes,4604,,
21,ACM Information Technology Education,SIGITE,ICORE2026,National: USA,No,4608,,
2319,ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,ICORE2026,A,Yes,CSE,,
23,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,ICORE2026,C,No,4607,4608,
22,ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,ICORE2026,A,Yes,4601,4611,4605
24,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,ICORE2026,A,No,4606,,
25,ACM International Conference on Information and Knowledge Management,CIKM,ICORE2026,A,Yes,4605,4602,
2351,ACM International Conference on Interactive Media Experiences,IMX,ICORE2026,C,Yes,4608,4607,4603
1488,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,ICORE2026,Journal Published,Yes,4608,,
26,ACM International Conference on Knowledge Discovery and Data Mining,KDD,ICORE2026,A*,Yes,4605,4611,
