Title,Acronym,DblpSeries,has CORE2023 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3
American Medical Informatics Annual Fall Symposium,AMIA,amia,National: USA,"Applied computing, , ",Applied computing,,
Annual Computer Security Applications Conference,ACSAC,acsac,A,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
Annual Conference on Computer Science Logic,CSL,csl,B,"Theory of computation, , ",Theory of computation,,
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,iticse,B,"Human-centred computing, , ",Human-centred computing,,
"Annual Conference on Privacy, Security and Trust",PST,pst,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
Annual International Workshop on Presence,ISPR,N/A,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,
Annual Meeting of the Cognitive Science Society,CogSci,cogsci,B,"Artificial intelligence, , ",Artificial intelligence,,
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,sigdial,B,"Artificial intelligence, , ",Artificial intelligence,,
Applications of Information Visualization,IV-App,N/A,C,"Human-centred computing, , ",Human-centred computing,,
Applications of Natural Language to Data Bases,NLDB,nldb,C,"Artificial intelligence, Data management and data science, ",Artificial intelligence,Data management and data science,
Applied Computing Conference,ACC,N/A,C,"Applied computing, , ",Applied computing,,
Architectural Support for Programming Languages and Operating Systems,ASPLOS,asplos,A*,"Software engineering, Distributed computing and systems software, ",Software engineering,Distributed computing and systems software,
Artificial Intelligence Applications and Innovations,AIAI,aiai,C,"Applied computing, Artificial intelligence, ",Applied computing,Artificial intelligence,
"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,artsit,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,
Asia and South Pacific Design Automation Conference,ASPDAC,aspdac,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
"Asia Conference on Information, Computer and Communications Security",AsiaCCS,asiaccs,A,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
Asia Pacific Conference on Communications,APCC,apcc,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on Intelligent and Evolutionary Systems),IES,N/A,C,"Artificial intelligence, , ",Artificial intelligence,,
Asia-Pacific Bioinformatics Conference,APBC,apbc,B,"Applied computing, , ",Applied computing,,
Asia-Pacific Conference on Conceptual Modelling,APCCM,N/A,Australasian C,"Data management and data science, , ",Data management and data science,,
Asia-Pacific Network Operations and Management Symposium,APNOMS,apnoms,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
Asia-Pacific Services Computing Conference,APSCC,N/A,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
Asia-Pacific Software Engineering Conference,APSEC,apsec,C,"Software engineering, , ",Software engineering,,
Asian Conference on Computer Vision,ACCV,accv,B,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
Asian Conference on Intelligent Information and Database Systems,ACIIDS,aciids,B,"Data management and data science, Artificial intelligence, ",Data management and data science,Artificial intelligence,
Asian Conference on Machine Learning,ACML,acml,Unranked,"Machine learning, , ",Machine learning,,
ASIAN Symposium on Programming Languages and Systems,APLAS,aplas,B,"Software engineering, , ",Software engineering,,
"Asilomar Conference on Signals, Systems and Computing",ACSSC,acssc,National: USA,"Distributed computing and systems software, , ",Distributed computing and systems software,,
Association for Computational Linguistics,ACL,acl,A*,"Artificial intelligence, , ",Artificial intelligence,,
Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,N/A,C,"Applied computing, , ",Applied computing,,
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,N/A,Australasian C,"Theory of computation, , ",Theory of computation,,
Australasian Conference on Information Security and Privacy,ACISP,acisp,Australasian B,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
Australasian Conference on Robotics and Automation,ACRA,N/A,Australasian C,"Artificial intelligence, Computer vision and multimedia computation, ",Artificial intelligence,Computer vision and multimedia computation,
Australasian Database Conference,ADC,adc,Australasian B,"Data management and data science, , ",Data management and data science,,
Australasian Document Computing Symposium,ADCS,adcs,Australasian B,"Data management and data science, , ",Data management and data science,,
