Title,Acronym,DblpSeries,has CORE2018 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3
IEEE International Conference on Multimedia in Education,MME,N/A,C,", , ",,,
Multiple Objective Decision Support System Conference,MODSS,N/A,C,", , ",,,
Open and Distance Learning Association of Australia Bienniel Forum,ODLA,N/A,Australasian,", , ",,,
"Joint OECC, IOCC & ACOFT",OESS/IOCC/ACOFT,N/A,C,", , ",,,
International Conference on Object Oriented Information Systems,OOIS,N/A,C,", , ",,,
PACES & ICIL,P&I,N/A,C,", , ",,,
Joint AUPEC & EECON,PEC&CON,N/A,C,", , ",,,
International Symposium on Physical Design,PHYSDES,N/A,C,", , ",,,
Symposium on Programming Language Implementation and Logic Programming,PLILP,N/A,B,", , ",,,
International Conference on Software Engineering: Education and Practice,SEEP,N/A,B,", , ",,,
Society for Information Technology and Teacher Education Conference,SITE,N/A,C,", , ",,,
Theory and Applications of Knowledge MAnagement,TAKMA,N/A,C,", , ",,,
International Conference on Technology Education,TE,N/A,C,", , ",,,
University of Western Australia Computer Science Research Conference,UWACS,N/A,Australasian,", , ",,,
International Workshop on Artificial Intelligence and Statistics,WAIS,N/A,B,", , ",,,
World Conference on Computers in Education,WCCE,N/A,C,", , ",,,
World Congress on Systems Simulation,WCSS,N/A,B,", , ",,,
International Computer Symposium Workshop,WICS,N/A,C,", , ",,,
"World Multi-Conference on Systemics, Cybernetics and Informatics",WMSCI,N/A,C,", , ",,,
Practical Applications of Agents and Multiagent Systems,PAAMS,paams,C,"Information and Computing Sciences†, Distributed Computing†, Cognitive Science†",Information and Computing Sciences†,Distributed Computing†,Cognitive Science†
"International Conference: Sciences of Electronics, Technologies of information and Telecommunication",SETIT,N/A,Unranked,"Information and Computing Sciences†, Technology†, Engineering†",Information and Computing Sciences†,Technology†,Engineering†
Applied Computing Conference,ACC,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
Australasian Computer Science Conference,ACSC,N/A,Australasian,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,aiccsa,C,"Information and Computing Sciences†, Built Environment and Design†, ",Information and Computing Sciences†,Built Environment and Design†,
Asian Computing Science Conference,ASIAN,N/A,B,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
ISCA International Conference on Computer Applications in Industry and Engineering,CAINE,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
International Conference on Computers and their Applications,CATA,cata,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
IEEE International Conference on Computer and Information Technology,CIT,cit,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
ACM Annual Computer Science Conference,CSC,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,csee,C,"Information and Computing Sciences†, Engineering†, ",Information and Computing Sciences†,Engineering†,
Computer Science Research Conference,CSRC,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
European Computing Conference,ECC,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
Mexican International Conference on Current Trends in Computer Science (was Mexican International Conference on Computer Science),ENC,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
International Conference on Frontiers of Information Technology,FIT,fit,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
Genetic and Evolutionary Computations,GECCO,gecco,A,"Information and Computing Sciences†, Engineering†, ",Information and Computing Sciences†,Engineering†,
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,ic3k,C,"Information and Computing Sciences†, Technology†, ",Information and Computing Sciences†,Technology†,
International Conference on Information and Communications Technology,ICICT,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
International Conference on International and Communication Technologies,ICICTE,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
International Conference on Information and Emerging Technologies,ICIET,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
IEEE/ACIS International Conference on Computer and Information Science,ICIS,ACISicis,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
International Conference on Information Technology and Applications,ICITA,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
International Computer Science Conference,ICSC,N/A,B,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
International Conference on Information and Communication Technologies and Development,ICTD,ictd,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,ideal,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
IFIP Congress (Information Processing),Information Processing,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
IEEE International Multioptic Conference,INMIC,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
IEEE Symposium on Computers and Communications,ISCC,iscc,B,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
International Symposium on Information and Communication Technologies,ISICT,isict,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
International Conference on Information Technology Interfaces,ITI,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
International Conference on Recent Advances in Information Technology and Applications,RAITA,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
IEEE Systems and Information Engineering Design Symposium,SIEDS,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
ACM Information Technology Education,SIGITE,sigite,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",SNPD,snpd,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
Current Trends in Theory and Practice of Computer Science,SOFSEM,sofsem,B,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
Richard Tapia Celebration of Diversity in Computing Conference,Tapia,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
Usenix Annual Technical Conference,USENIX,usenix,A,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
USENIX Workshop on Electronic Commerce,USENIX EC,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
World Computer Congress,WCC,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
"World Congress in Computer Science, Computer Engineering, and Applied Computing",WORLDCOMP,N/A,C,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,
American Federation of Information Processing Societies,AFIPS,N/A,A,"Artificial Intelligence and Image Processing†, Information Systems†, Computation Theory and Mathematics†",Artificial Intelligence and Image Processing†,Information Systems†,Computation Theory and Mathematics†
ACM Conference on Economics and Computation,EC,sigecom,A*,"Artificial Intelligence and Image Processing†, Information Systems†, Computation Theory and Mathematics†",Artificial Intelligence and Image Processing†,Information Systems†,Computation Theory and Mathematics†
Intelligent Virtual Agents,IVA,iva,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Principles of Practice in Multi-Agent Systems (prior to 2009 was Pacific Rim International Workshop on Multi-Agents),PRIMA,prima,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,esws,A,"Artificial Intelligence and Image Processing†, Information Systems†, Data Format†",Artificial Intelligence and Image Processing†,Information Systems†,Data Format†
International Conference on Knowledge Engineering and Knowledge Management,EKAW,ekaw,B,"Artificial Intelligence and Image Processing†, Information Systems†, ",Artificial Intelligence and Image Processing†,Information Systems†,
"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,ifaamas,A*,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Conference in Uncertainty in Artificial Intelligence,UAI,uai,A*,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
IEEE International Conference on Data Science and Engineering,ICDSE,N/A,National:India,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Work-conference on the Interplay between Natural and Artificial Computation,IWINAC,iwinac,National:Spain,"Artificial Intelligence and Image Processing†, Biomedical Engineering †, Electrical and Electronic Engineering†",Artificial Intelligence and Image Processing†,Biomedical Engineering †,Electrical and Electronic Engineering†
IEEE Conference on Cognitive and Computational Aspects of Situation Management,CogSIMA,cogsima,National:USA,"Artificial Intelligence and Image Processing†, Cognitive Science†, ",Artificial Intelligence and Image Processing†,Cognitive Science†,
IEEE International Conference on Computer Vision,ICCV,iccv,A*,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,cvpr,A*,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Portuguese Conference on Artificial Intelligence,EPIA,epia,Regional,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Artificial Intelligence Applications and Innovations,AIAI,aiai,Regional,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Discovery Science,DS,dis,Unranked,"Artificial Intelligence and Image Processing†, Information Systems†, Computation Theory and Mathematics†",Artificial Intelligence and Image Processing†,Information Systems†,Computation Theory and Mathematics†
European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,evoW/evocop2019.html,Unranked,"Artificial Intelligence and Image Processing†, Computation Theory and Mathematics†, ",Artificial Intelligence and Image Processing†,Computation Theory and Mathematics†,
International Conference on Computational Creativity,ICCC,icccrea,Unranked,"Artificial Intelligence and Image Processing†, Information Systems†, ",Artificial Intelligence and Image Processing†,Information Systems†,
International Conference on Knowledge Engineering and Ontology Development,KEOD,N/A,C,"Artificial Intelligence and Image Processing†, Information Systems†, ",Artificial Intelligence and Image Processing†,Information Systems†,
Semantics - International Conference on Semantic Systems,Semantics,i-semantics,unranked,"Artificial Intelligence and Image Processing†, Data Format†, Information Systems†",Artificial Intelligence and Image Processing†,Data Format†,Information Systems†
The Symposium of Combinatorial Search,SoCS,socs,Unranked,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
SIGGRAPH Asia,SiggraphA,siggrapha,journal published,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
3-D Digital Imaging and Modelling,3DIM,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Symposium on 3D Data Processing Visualization and Transmission,3DPVT,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on 3G Mobile Communication Technologies,3G,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
National Conference of the American Association for Artificial Intelligence,AAAI,aaai,A*,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Advanced Course on Artificial Intelligence,ACAI,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australian Conference on Artificial Life and Computational Intelligence,ACALCI,acalci,Australasian,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Asian Conference on Computer Vision,ACCV,accv,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Affective Computing and Intelligent,ACII,acii,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Advanced Concepts for Intelligent Vision Systems,ACIVS,acivs,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australian Conference for Knowledge Management and Intelligent Decision Support,ACKMIDS,N/A,Australasian,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Association for Computational Linguistics,ACL,acl,A*,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Asian Conference on Machine Learning,ACML,acml,Unranked,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australian Conference on Neural Networks,ACNN,N/A,Australasian,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australasian Conference on Robotics and Automation,ACRA,N/A,Australasian,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Workshop on Agents and Data Mining Interaction,ADMI,admi,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
"International Conference on Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa",AFRIGRAPH,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australasian Joint Conference on Artificial Intelligence,AI,ausai,Australasian,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on AI in Design,AID,N/A,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Artificial Intelligence in Education,AIED,aied,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Artificial Intelligence in Medicine,AIIM,N/A,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Artificial Intelligence in Knowledge Management,AIKM,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Artificial Intelligence in Medicine,AIME,aime,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
"International Conference on Artificial Intelligence: Methodology, Systems, Applications",AIMSA,aimsa,Unranked,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Artificial Intelligence and Pattern Recognition,AIPR,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Advances in Intelligent Systems,AIS,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Artificial Intelligence in Science and Technology,AISAT,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Advances in Intelligent Systems: Theory and Applications,AISTA,N/A,B,"Artificial Intelligence and Image Processing†, Information Systems†, ",Artificial Intelligence and Image Processing†,Information Systems†,
International Conference on Artificial Intelligence and Statistics,AISTATS,aistats,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on Intelligent and Evolutionary Systems),IES,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australian Knowledge Acquisition Workshop,AKAW,N/A,Australasian,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on the Simulation and Synthesis of Living Systems,ALIFE,N/A,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
European Conference on Ambient Intelligence,AmI,ami,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Ambient Intelligence Developments,Aml.d,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Conference of the Association for Machine Translation in the Americas,AMTA,amta,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Conference on Artificial Neural Networks and Expert systems,ANNES,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Artificial Neural Networks in Engineering Conference,ANNIE,N/A,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Workshop on Ant Colony,ANTS,N/A,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Applied Perception in Graphics and Visualization,APGV,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Symposium on Artificial Life and Robotics,AROB,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,artsit,C,"Artificial Intelligence and Image Processing†, Information Systems†, ",Artificial Intelligence and Image Processing†,Information Systems†,
Australian Symposium on Information Visualisation,ASIV,N/A,Australasian,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
ISCA Tutorial and Research Workshop Automatic Speech Recognition,ASR,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,asru,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Australasian Cognitive Science Society Conference,AuCSS,N/A,Australasian,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Advanced Visual Interfaces,AVI,avi,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Atlantic Web Intelligence Conference,AWIC,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
IFIP Conference on Biologically Inspired Collaborative Computing,BICC,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Bioinformatics Visualization,BioViz,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Visualisation in Built and Rural Environments,BuiltViz,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Automated Deduction,CADE,cade,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Conference on Artificial Intelligence for Applications,CAIA,N/A,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Computer Analysis of Images and Patterns,CAIP,caip,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
"Cooperative Design, Visualization, and Engineering",CDVE,cdve,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
IEEE Congress on Evolutionary Computation,CEC,cec,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Cybercrime Forensics Education and Training,CFET,N/A,C,"Artificial Intelligence and Image Processing†, Computer Software†, ",Artificial Intelligence and Image Processing†,Computer Software†,
Computer Graphics International,CGI,cgi,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
"International Conference Computer Graphics, Imaging and Visualization",CGIV,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Cultural Heritage Knowledge Visualisation,CHKV,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Implementation and Application of Automata,CIAA,wia,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
IberoAmerican Congress on Pattern Recognition,CIARP,ciarp,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,cibcb,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,cicling,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Conference on Games (was Computational Intelligence and Games CIG),COG,cig,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
IEEE International Conference on Intelligence for Homeland Security and Personal Safety,CIHSPS,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
IEEE Symposium on Computational Intelligence in Image and Signal Processing,CIISP,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Workshop on Combinations of Intelligent Methods and Applications,CIMA,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
"International Conference on Computational Intelligence for Modelling, Control and Automation",CIMCA,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
IEEE International Conference on Computational Intelligence for Measurement Systems and Applications,CIMSA,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
"International Conference on Computational Intelligence, Robotics and Autonomous Systems",CIRAS,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
IEEE International Conference on Cybernetics and Intelligent Systems,CIS,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
"International Conference Imaging Science, Systems and Technology",CISST,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Coordinated and Multiple Views in Exploratory Visualization,CMV,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
IEEE International Workshop on Cellular Nanoscale Networks and Applications,CNNA,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Cognitive Robotics Conference,COGROBO,N/A,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Annual Meeting of the Cognitive Science Society,CogSci,cogsci,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
"International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems (Ethics added 2020)",COINE,coin-ws/,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Computational Linguistics,COLING,coling,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Conference on Learning Theory,COLT,colt,A*,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Symposium on Logical Formalizations of Commonsense Reasoning,COMMONSENSE,N/A,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Asia-Pacific Conference on Complex Systems,Complex,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Symposium on Computational Life Science,CompLife,N/A,B,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Conference on Computational Natural Language Learning,CoNLL,conll,A,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
International Conference on Computational Semiotics for Games and New Media,Cosign,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
Complex Objects Visualization Workshop,COV,N/A,C,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,
